日付,時刻,乾球温度[C],絶対湿度[kg/kg],法線面直達日射[W/m2],全天日射[W/m2],拡散日射[W/m2],雲量,夜間放射[W/m2],太陽高度[radian],地中温度(0.675m)[C],地中温度(1.35m)[C],地中温度(2.35m)[C]
1959/01/06,22:00,1.1,0.00249528315767738,0,0,0,3,96.4756942203255,0,-0.750558178810808,4.79873445707936,10.2901085948549,
1959/01/06,23:00,4.4,0.00176540106278615,0,0,0,1,122.629962762112,0,-0.756344026654258,4.79310230906619,10.2867823318518,
1959/01/07,0:00,0.6,0.00194717170325632,0,0,0,3,99.3878215327536,0,-0.762124492326778,4.78747268832494,10.2834557699105,
1959/01/07,1:00,-0.6,0.00236175391229958,0,0,0,6,73.2130989418915,0,-0.767899572854606,4.78184559775176,10.2801289107422,
1959/01/07,2:00,-1.1,0.00205034630088499,0,0,0,5,81.5594612385085,0,-0.773669265266776,4.77622104024148,10.2768017560586,
1959/01/07,3:00,-2.8,0.00225760619351711,0,0,0,5,78.4058043712623,0,-0.779433566595081,4.77059901868765,10.2734743075712,
1959/01/07,4:00,-2.2,0.0020468997577798,0,0,0,8,58.616177602074,0,-0.785192473874091,4.76497953598251,10.2701465669917,
1959/01/07,5:00,-2.2,0.0023560817019452,0,0,0,9,50.3295782907369,0,-0.790945984141148,4.75936259501697,10.2668185360323,
1959/01/07,6:00,-2.2,0.0023541028597418,0,0,0,9,50.3295782907369,0,-0.796694094436379,4.75374819868067,10.2634902164049,
1959/01/07,7:00,-1.1,0.00235128170153345,61.6666666666667,24.1666666666667,18.2636370454066,6,72.6773302517368,0.0958716023237864,-0.802436801802678,4.74813634986192,10.2601616098219,
1959/01/07,8:00,0.6,0.00234650121925676,691.111111111111,180,59.5395049321436,1,111.291949627135,0.175194589464437,-0.808174103285719,4.74252705144771,10.2568327179956,
1959/01/07,9:00,4.4,0.00247082767566182,860,324.722222222222,59.1737490355654,0,124.328842144108,0.313907240209661,-0.81390599593397,4.73692030632373,10.2535035426385,
1959/01/07,10:00,6.7,0.00224304587208268,935.833333333333,433.333333333333,53.7477116903527,0,130.465256733804,0.417648740105354,-0.81963247679867,4.73131611737438,10.2501740854633,
1959/01/07,11:00,6.7,0.00246994204925389,965.833333333333,491.111111111111,48.5605114564646,0,128.501503025418,0.47597576530707,-0.825353542933838,4.72571448748269,10.2468443481829,
1959/01/07,12:00,6.7,0.00203541348922501,964.444444444444,494.722222222222,48.209726204936,0,132.352327040052,0.481347279543971,-0.831069191396303,4.72011541953043,10.2435143325103,
1959/01/07,13:00,7.8,0.0020337137887071,942.5,436.388888888889,40.9244209815635,0,134.445565530043,0.432994632341568,-0.836779419245643,4.71451891639801,10.2401840401585,
1959/01/07,14:00,7.2,0.00212319193680142,863.611111111111,326.111111111111,40.2438095828746,6,83.1762537612709,0.337377869382774,-0.842484223544256,4.70892498096454,10.2368534728408,
1959/01/07,15:00,6.1,0.00246287982816302,693.333333333333,180.555555555556,39.6153866022462,10,48.4131439054391,0.204705778020032,-0.848183601357324,4.70333361610781,10.2335226322707,
1959/01/07,16:00,4.4,0.00246112057862285,128.888888888889,27.2222222222222,10.8071030855625,7,70.3701246535652,0.127705518500849,-0.853877549752804,4.69774482470429,10.2301915201616,
1959/01/07,17:00,1.7,0.00297351849774141,0,0,0,6,72.6495366501797,0,-0.859566065801468,4.69215860962911,10.2268601382273,
1959/01/07,18:00,0,0.00297351849774141,0,0,0,6,70.8687386299384,0,-0.86524914657687,4.68657497375609,10.2235284881815,
1959/01/07,19:00,-1.1,0.00282184830599085,0,0,0,2,98.1868211604857,0,-0.870926789155362,4.68099391995772,10.2201965717383,
1959/01/07,20:00,-2.2,0.00270124813901486,0,0,0,0,111.123037135057,0,-0.876598990616094,4.67541545110514,10.2168643906117,
1959/01/07,21:00,-3.3,0.00245498294799003,0,0,0,3,90.4317753518357,0,-0.882265748041018,4.6698395700682,10.2135319465159,
1959/01/07,22:00,-3.3,0.00222946586431993,0,0,0,1,105.800119014581,0,-0.887927058514885,4.6642662797154,10.2101992411654,
1959/01/07,23:00,-3.9,0.00211462392706687,0,0,0,0,112.68349752197,0,-0.893582919125242,4.6586955829139,10.2068662762746,
1959/01/08,0:00,-3.9,0.00211462392706687,0,0,0,0,112.68349752197,0,-0.89923332696246,4.65312748252951,10.2035330535582,
1959/01/08,1:00,-3.9,0.00202309461830943,0,0,0,6,71.2217807660203,0,-0.90487827911968,4.64756198142677,10.2001995747309,
1959/01/08,2:00,-4.4,0.00211562833733707,0,0,0,7,63.3064256331239,0,-0.910517772692883,4.6419990824688,10.1968658415076,
1959/01/08,3:00,-3.3,0.0021163822714274,0,0,0,8,57.3004056527011,0,-0.916151804780849,4.63643878851744,10.1935318556034,
1959/01/08,4:00,-2.2,0.00202549831666618,0,0,0,9,51.4054573415014,0,-0.921780372485152,4.63088110243316,10.1901976187334,
1959/01/08,5:00,-2.8,0.00223211563552535,0,0,0,6,71.3606451379025,0,-0.9274034729102,4.6253260270751,10.1868631326129,
1959/01/08,6:00,-3.3,0.0021163822714274,0,0,0,8,57.3004056527011,0,-0.933021103163197,4.61977356530105,10.1835283989574,
