ä£ãÖâ∑ìx,ê‚ëŒéºìx,éºãÖâ∑ìx
11.5,0.0015,3.337743266
11.5,0.002,4.006994444
11.5,0.0025,4.662115716
11.5,0.003,5.303503516
11.5,0.0035,5.931547848
11.5,0.004,6.546631424
11.5,0.0045,7.14912914
11.5,0.005,7.739407497
11.5,0.0055,8.317824199
11.5,0.006,8.884727843
11.5,0.0065,9.440457703
11.5,0.007,9.985343593
11.5,0.0075,10.5197058
11.5,0.008,11.04417581
11.5,0.0085,11.49973896
12,0,1.529110247
12,0.0005,2.237041908
12,0.001,2.930297542
12,0.0015,3.608748818
12,0.002,4.272801794
12,0.0025,4.922857689
12,0.003,5.559311891
12,0.0035,6.182552844
12,0.004,6.792961473
12,0.0045,7.390910577
12,0.005,7.97676433
12,0.0055,8.550877917
12,0.006,9.113597269
12,0.0065,9.665258875
12,0.007,10.20618968
12,0.0075,10.73670703
12,0.008,11.25711871
12,0.0085,11.76790604
12,0.009,11.99973286
12.5,0,1.813749132
12.5,0.0005,2.516665825
12.5,0.001,3.204502306
12.5,0.0015,3.877668451
12.5,0.002,4.536569975
12.5,0.0025,5.181607278
12.5,0.003,5.813174469
12.5,0.0035,6.431658319
12.5,0.004,7.037437821
12.5,0.0045,7.630883562
12.5,0.005,8.212357292
12.5,0.0055,8.782211597
12.5,0.006,9.340789673
12.5,0.0065,9.888425171
12.5,0.007,10.42544212
12.5,0.0075,10.95215491
12.5,0.008,11.46886833
12.5,0.0085,11.97626855
12.5,0.009,12.47351118
12.5,0.0095,12.49972693
13,0,2.096718614
13,0.0005,2.794128178
13,0.001,3.476591925
13,0.0015,4.144519707
13,0.002,4.798316674
13,0.0025,5.438382246
13,0.003,6.065109003
13,0.0035,6.678881961
13,0.004,7.280078038
13,0.0045,7.8690655
13,0.005,8.446203583
13,0.0055,9.011842201
13,0.006,9.566321751
13,0.0065,10.109973
13,0.007,10.64311702
13,0.0075,11.16606522
13,0.008,11.67911936
13,0.0085,12.18257169
13,0.009,12.67696644
13,0.0095,12.99972107
13.5,0,2.377497468
13.5,0.0005,3.069446125
13.5,0.001,3.74658385
13.5,0.0015,4.409320232
13.5,0.002,5.058059647
13.5,0.0025,5.693200368
13.5,0.003,6.315133254
13.5,0.0035,6.924241442
13.5,0.004,7.520899655
13.5,0.0045,8.10547374
13.5,0.005,8.678320333
13.5,0.0055,9.239786606
13.5,0.006,9.790210104
13.5,0.0065,10.32991866
13.5,0.007,10.85923037
13.5,0.0075,11.37845361
13.5,0.008,11.88788712
13.5,0.0085,12.38782013
13.5,0.009,12.87853246
13.5,0.0095,13.36042636
13.5,0.01,13.49971521
14,0,2.656102666
14,0.0005,3.34263699
14,0.001,4.014495652
14,0.0015,4.672087754
14,0.002,5.315816765
14,0.0025,5.94607946
14,0.003,6.563264981
14,0.0035,7.167754409
14,0.004,7.75992016
14,0.0045,8.34012557
14,0.005,8.908724596
14,0.0055,9.466061602
14,0.006,10.01247123
14,0.0065,10.54827835
14,0.007,11.07379803
14,0.0075,11.58933562
14,0.008,12.09518681
14,0.0085,12.59163779
14,0.009,13.07896539
14,0.0095,13.5578053
14,0.01,13.99970923
14.5,0,2.932551369
14.5,0.0005,3.61371824
14.5,0.001,4.28034501
14.5,0.0015,4.932840076
14.5,0.002,5.571605834
14.5,0.0025,6.197037353
14.5,0.003,6.809521933
14.5,0.0035,7.409438478
14.5,0.004,7.997156991
14.5,0.0045,8.57303821
14.5,0.005,9.13743334
14.5,0.0055,9.690683885
14.5,0.006,10.23312154
14.5,0.0065,10.76506815
14.5,0.007,11.28683577
14.5,0.0075,11.79872666
14.5,0.008,12.30103348
14.5,0.0085,12.79403938
14.5,0.009,13.27801818
14.5,0.0095,13.75323457
14.5,0.01,14.22019519
14.5,0.0105,14.49970302
15,0,3.206860908
15,0.0005,3.882707474
15,0.001,4.544149696
15,0.0015,5.191595105
15,0.002,5.825444734
15,0.0025,6.446091879
15,0.003,7.053921837
15,0.0035,7.649311221
15,0.004,8.232627524
15,0.0045,8.804228803
15,0.005,9.364463451
15,0.0055,9.913670049
15,0.006,10.4521773
15,0.0065,10.98030403
15,0.007,11.49835919
15,0.0075,12.00664202
15,0.008,12.50544208
15,0.0085,12.99503948
15,0.009,13.47570506
15,0.0095,13.94770053
15,0.01,14.41127875
15,0.0105,14.86682142
15,0.011,14.99969647
15.5,0,3.479048769
15.5,0.0005,4.149622405
15.5,0.001,4.805927559
15.5,0.0015,5.448370759
15.5,0.002,6.077351364
15.5,0.0025,6.693260862
15.5,0.003,7.296482391
15.5,0.0035,7.887390161
15.5,0.004,8.466349069
15.5,0.0045,9.033714415
15.5,0.005,9.589831716
15.5,0.0055,10.13503659
15.5,0.006,10.66965471
15.5,0.0065,11.19400182
15.5,0.007,11.70838382
15.5,0.0075,12.21309684
15.5,0.008,12.70842738
15.5,0.0085,13.19465253
15.5,0.009,13.6720401
15.5,0.0095,14.14084886
15.5,0.01,14.60132879
15.5,0.0105,15.05372125
15.5,0.011,15.49793225
15.5,0.0115,15.49968945
16,0,3.749132575
16,0.0005,4.414480842
16,0.001,5.065696515
16,0.0015,5.703184951
16,0.002,6.327343629
16,0.0025,6.938562108
16,0.003,7.53722125
16,0.0035,8.123692764
16,0.004,8.698338862
16,0.0045,9.261512022
16,0.005,9.813554827
16,0.0055,10.35479989
16,0.006,10.88556981
16,0.0065,11.40617726
16,0.007,11.91692503
16,0.0075,12.41810615
16,0.008,12.91000407
16,0.0085,13.39289283
16,0.009,13.86703724
16,0.0095,14.33269315
16,0.01,14.79010764
16,0.0105,15.23951926
16,0.011,15.68146131
16,0.0115,15.99968185
16.5,0,4.017130068
16.5,0.0005,4.677300679
16.5,0.001,5.323474633
16.5,0.0015,5.956055646
16.5,0.002,6.575439426
16.5,0.0025,7.182013396
16.5,0.003,7.776156027
16.5,0.0035,8.35823643
16.5,0.004,8.928614061
16.5,0.0045,9.487638509
16.5,0.005,10.03564937
16.5,0.0055,10.57297621
16.5,0.006,11.09993856
16.5,0.0065,11.61684595
16.5,0.007,12.12399807
16.5,0.0075,12.62168485
16.5,0.008,13.11018668
16.5,0.0085,13.58977455
16.5,0.009,14.0607103
16.5,0.0095,14.52324685
16.5,0.01,14.9776284
16.5,0.0105,15.42409071
16.5,0.011,15.86286136
16.5,0.0115,16.29437131
16.5,0.012,16.49967354
17,0,4.283059095
17,0.0005,4.93809988
17,0.001,5.579279838
17,0.0015,6.207000819
17,0.002,6.821656642
17,0.0025,7.423632468
17,0.003,8.013304274
17,0.0035,8.59103849
17,0.004,9.157191738
17,0.0045,9.712110662
17,0.005,10.25613184
17,0.0055,10.78958173
17,0.006,11.31277676
17,0.0065,11.82602335
17,0.007,12.32961805
17,0.0075,12.82384769
17,0.008,13.30898959
17,0.0085,13.78531172
17,0.009,14.25307294
17,0.0095,14.71252326
17,0.01,15.16390402
17,0.0105,15.6074482
17,0.011,16.04338067
17,0.0115,16.47191842
17,0.012,16.89336734
17,0.0125,16.99999998
17.5,0,4.546937591
17.5,0.0005,5.196896529
17.5,0.001,5.833130161
17.5,0.0015,6.456038445
17.5,0.002,7.066013136
17.5,0.0025,7.663437021
17.5,0.003,8.248683485
17.5,0.0035,8.822116194
17.5,0.004,9.384088873
17.5,0.0045,9.934945168
17.5,0.005,10.47501858
17.5,0.0055,11.00463248
17.5,0.006,11.52410013
17.5,0.0065,12.03372481
17.5,0.007,12.53379995
17.5,0.0075,13.02460929
17.5,0.008,13.50642706
17.5,0.0085,13.97951823
17.5,0.009,14.4441387
17.5,0.0095,14.90053555
17.5,0.01,15.34894731
17.5,0.0105,15.78960421
17.5,0.011,16.22272839
17.5,0.0115,16.64853423
17.5,0.012,17.06722859
17.5,0.0125,17.47880174
17.5,0.013,17.49999998
18,0,4.808783568
18,0.0005,5.45370871
18,0.001,6.085043649
18,0.0015,6.703186485
18,0.002,7.308526735
18,0.0025,7.901444699
18,0.003,8.482311081
18,0.0035,9.05148671
18,0.004,9.609322351
18,0.0045,10.15615861
18,0.005,10.69232587
18,0.0055,11.21814437
18,0.006,11.73392422
18,0.0065,12.23996555
18,0.007,12.73655864
18,0.0075,13.22398414
18,0.008,13.70251323
18,0.0085,14.17240785
18,0.009,14.63392096
18,0.0095,15.08729676
18,0.01,15.53277097
18,0.0105,15.97057105
18,0.011,16.40091649
18,0.0115,16.82401908
18,0.012,17.24008314
18,0.0125,17.64963185
18,0.013,17.99999997
18.5,0,5.068615099
18.5,0.0005,5.708554467
18.5,0.001,6.335038348
18.5,0.0015,6.948462882
18.5,0.002,7.549215222
18.5,0.0025,8.137673085
18.5,0.003,8.714204408
18.5,0.0035,9.279167114
18.5,0.004,9.832908955
18.5,0.0045,10.37576744
18.5,0.005,10.90806984
18.5,0.0055,11.4301332
18.5,0.006,11.94226448
18.5,0.0065,12.44476063
18.5,0.007,12.93790882
18.5,0.0075,13.42198659
18.5,0.008,13.89726205
18.5,0.0085,14.36399418
18.5,0.009,14.82243298
18.5,0.0095,15.27281979
18.5,0.01,15.71538752
18.5,0.0105,16.15036092
18.5,0.011,16.57795683
18.5,0.0115,16.99838448
18.5,0.012,17.41184566
18.5,0.0125,17.81853511
18.5,0.013,18.21890715
18.5,0.0135,18.49999997
19,0,5.326450466
19,0.0005,5.961451913
19,0.001,6.5831323
19,0.0015,7.191885546
19,0.002,7.788096331
19,0.0025,8.372139695
19,0.003,8.94438073
19,0.0035,9.505174388
19,0.004,10.05486536
19,0.0045,10.59378804
19,0.005,11.1222665
19,0.0055,11.64061464
19,0.006,12.14913621
19,0.0065,12.64812501
19,0.007,13.13786507
19,0.0075,13.61863084
19,0.008,14.09068739
19,0.0085,14.5542907
19,0.009,15.00968787
19,0.0095,15.45711738
19,0.01,15.89680937
19,0.0105,16.32898588
19,0.011,16.75386113
19,0.0115,17.1716418
19,0.012,17.58252721
19,0.0125,17.98670971
